name,NI,age
John,0.05,27
William,0.14,38
James,0.15,12
Charles,0.82,12
George,0.4,50
Frank,0.96,8
Joseph,0.37,45
Thomas,0.86,64
Henry,0.83,5
Robert,0.77,53
Edward,0.77,46
Harry,0.83,9
Walter,0.97,39
Arthur,0.68,26
Fred,0.3,62
Albert,1,22
Samuel,0.54,23
David,0.4,27
Louis,0.41,64
Joe,0.25,36
Charlie,0.3,43
Clarence,0.24,9
Richard,0.6,52
Andrew,0.44,41
Daniel,0.2,63
Ernest,0.73,62
Will,0.09,48
Jesse,0.29,21
Oscar,0.64,14
Lewis,0.17,52
Peter,0.09,19
Benjamin,0.06,43
Frederick,0.07,34
Willie,0.98,12
Alfred,0.07,46
Sam,0.46,20
Roy,0.52,65
Herbert,0.48,26
Jacob,0.77,21
Tom,1,59
Elmer,0.58,15
Carl,0.59,35
Lee,0.96,56
Howard,0.62,50
Martin,0.58,34
Michael,0.79,21
Bert,0.61,21
Herman,0.69,58
Jim,0.63,49
Francis,0.24,22
Harvey,0.58,23
Earl,0.8,58
Eugene,0.41,57
Ralph,0.54,60
Ed,0.04,25
Claude,0.9,59
Edwin,0.64,64
Ben,0.21,64
Charley,0.8,47
Paul,0.63,50
Edgar,0.16,64
Isaac,0.23,50
Otto,0.15,18
Luther,0.25,16
Lawrence,0.47,49
Ira,0.01,14
Patrick,0.21,28
Guy,0.22,47
Oliver,0.89,44
Theodore,0.86,54
Hugh,0.72,39
Clyde,0.6,22
Alexander,0.61,30
August,0.22,44
Floyd,0.44,46
Homer,0.7,41
Jack,0.44,55
Leonard,0.63,24
Horace,0.24,6
Marion,0.78,55
Philip,0.94,9
Allen,0.77,50
Archie,1,64
Stephen,0.86,38
Chester,0.29,65
Willis,0.49,56
Raymond,0.35,28
Rufus,0.35,48
Warren,0.68,60
Jessie,0.95,58
Milton,0.75,14
Alex,0.6,26
Leo,0.9,8
Julius,0.98,28
Ray,0.33,22
Sidney,0.71,35
Bernard,0.58,43
Dan,0.11,6
Jerry,0.42,14
Calvin,0.46,54
Perry,0.07,17
Dave,0.8,46
Anthony,0.1,45
Eddie,0.34,18
Amos,0.88,9
Dennis,0.07,38
Clifford,0.46,31
Leroy,0.61,29
Wesley,0.7,20
Alonzo,0.14,13
Garfield,0.42,11
Franklin,0.46,23
Emil,0.88,11
Leon,0.48,42
Nathan,0.34,6
Harold,0.14,55
Matthew,0.34,64
Levi,0.71,21
Moses,0.73,62
Everett,0.01,40
Lester,0.76,62
Winfield,0.67,48
Adam,0.96,22
Lloyd,0.05,7
Mack,1,11
Fredrick,0.95,15
Jay,0.28,13
Jess,0.99,5
Melvin,0.02,51
Noah,0.01,46
Aaron,0.61,22
Alvin,0.45,16
Norman,0.9,63
Gilbert,0.87,6
Elijah,0.69,55
Victor,0.04,14
Gus,0.39,9
Nelson,0.22,34
Jasper,0.25,34
Silas,0.23,10
Christopher,0.44,22
Jake,0.87,15
Mike,0.75,43
Percy,0.44,15
Adolph,0.35,38
Maurice,0.32,17
Cornelius,0.33,43
Felix,0.98,7
Reuben,0.44,51
Wallace,0.79,61
Claud,0.98,13
Roscoe,0.77,8
Sylvester,0.67,54
Earnest,0.58,18
Hiram,0.93,55
Otis,0.62,55
Simon,0.29,35
Willard,0.34,37
Irvin,0.64,25
Mark,0.45,19
Jose,0.77,13
Wilbur,0.18,30
Abraham,0.57,16
Virgil,0.44,62
Clinton,0.47,8
Elbert,0.46,58
Leslie,0.2,37
Marshall,0.44,47
Owen,0.75,35
Wiley,0.98,31
Anton,0.44,35
Morris,0.17,14
Manuel,0.63,10
Phillip,0.96,6
Augustus,0.77,34
Emmett,0.51,25
Eli,0.98,32
Nicholas,0.77,59
Wilson,0.95,20
Alva,0.86,43
Harley,0.86,19
Newton,0.65,12
Timothy,0.35,28
Marvin,0.99,24
Ross,0.82,48
Curtis,0.23,6
Edmund,0.18,47
Jeff,0.78,42
Elias,0.28,17
Harrison,0.08,16
Stanley,0.56,50
